2025-03-31T21:44:48.973979Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 273, leaf_nodes: 6, hashed_cursor_seek_count: 14, hashed_cursor_advance_count: 6, walker_advance_count: 280 }
2025-03-31T21:44:48.974145Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 2, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 2, walker_advance_count: 1 }
2025-03-31T21:44:48.974171Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 5, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 5, walker_advance_count: 1 }
2025-03-31T21:44:48.974235Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 317, leaf_nodes: 11, hashed_cursor_seek_count: 20, hashed_cursor_advance_count: 11, walker_advance_count: 330 }
2025-03-31T21:44:48.974372Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 1, leaf_nodes: 12, hashed_cursor_seek_count: 3, hashed_cursor_advance_count: 12, walker_advance_count: 3 }
2025-03-31T21:44:48.975001Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 389, leaf_nodes: 13, hashed_cursor_seek_count: 46, hashed_cursor_advance_count: 13, walker_advance_count: 412 }
2025-03-31T21:44:48.975115Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 2, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 2, walker_advance_count: 1 }
2025-03-31T21:44:48.975710Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 380, leaf_nodes: 14, hashed_cursor_seek_count: 37, hashed_cursor_advance_count: 14, walker_advance_count: 402 }
2025-03-31T21:44:48.976358Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 319, leaf_nodes: 7, hashed_cursor_seek_count: 21, hashed_cursor_advance_count: 7, walker_advance_count: 331 }
2025-03-31T21:44:48.976531Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 14, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 14, walker_advance_count: 1 }
