2025-03-31T21:49:33.089307Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 347, leaf_nodes: 13, hashed_cursor_seek_count: 362, hashed_cursor_advance_count: 13, walker_advance_count: 362 }
2025-03-31T21:49:33.089719Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 241, leaf_nodes: 21, hashed_cursor_seek_count: 260, hashed_cursor_advance_count: 21, walker_advance_count: 260 }
2025-03-31T21:49:33.089803Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 12, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 12, walker_advance_count: 1 }
2025-03-31T21:49:33.089969Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 2, leaf_nodes: 17, hashed_cursor_seek_count: 5, hashed_cursor_advance_count: 17, walker_advance_count: 5 }
2025-03-31T21:49:33.091486Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 516, leaf_nodes: 33, hashed_cursor_seek_count: 565, hashed_cursor_advance_count: 33, walker_advance_count: 565 }
2025-03-31T21:49:33.092761Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 343, leaf_nodes: 10, hashed_cursor_seek_count: 356, hashed_cursor_advance_count: 10, walker_advance_count: 356 }
2025-03-31T21:49:33.096148Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 325, leaf_nodes: 24, hashed_cursor_seek_count: 348, hashed_cursor_advance_count: 24, walker_advance_count: 348 }
2025-03-31T21:49:33.096282Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 1, leaf_nodes: 31, hashed_cursor_seek_count: 3, hashed_cursor_advance_count: 31, walker_advance_count: 3 }
2025-03-31T21:49:33.097191Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 2, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 2, walker_advance_count: 1 }
2025-03-31T21:49:33.098065Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 513, leaf_nodes: 35, hashed_cursor_seek_count: 560, hashed_cursor_advance_count: 35, walker_advance_count: 560 }
2025-03-31T21:49:33.098169Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 1, leaf_nodes: 31, hashed_cursor_seek_count: 3, hashed_cursor_advance_count: 31, walker_advance_count: 3 }
2025-03-31T21:49:33.099215Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 381, leaf_nodes: 18, hashed_cursor_seek_count: 405, hashed_cursor_advance_count: 18, walker_advance_count: 405 }
2025-03-31T21:49:33.099417Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 1, leaf_nodes: 25, hashed_cursor_seek_count: 3, hashed_cursor_advance_count: 25, walker_advance_count: 3 }
2025-03-31T21:49:33.100588Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 387, leaf_nodes: 15, hashed_cursor_seek_count: 411, hashed_cursor_advance_count: 15, walker_advance_count: 411 }
2025-03-31T21:49:33.102315Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 256, leaf_nodes: 0, hashed_cursor_seek_count: 256, hashed_cursor_advance_count: 0, walker_advance_count: 256 }
2025-03-31T21:49:33.103091Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 319, leaf_nodes: 10, hashed_cursor_seek_count: 334, hashed_cursor_advance_count: 10, walker_advance_count: 334 }
2025-03-31T21:49:33.103820Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 340, leaf_nodes: 15, hashed_cursor_seek_count: 352, hashed_cursor_advance_count: 15, walker_advance_count: 352 }
2025-03-31T21:49:33.105397Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 317, leaf_nodes: 21, hashed_cursor_seek_count: 343, hashed_cursor_advance_count: 21, walker_advance_count: 343 }
2025-03-31T21:49:33.106477Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 9, leaf_nodes: 46, hashed_cursor_seek_count: 23, hashed_cursor_advance_count: 46, walker_advance_count: 23 }
2025-03-31T21:49:33.106497Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 9, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 9, walker_advance_count: 1 }
2025-03-31T21:49:33.107020Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 510, leaf_nodes: 35, hashed_cursor_seek_count: 557, hashed_cursor_advance_count: 35, walker_advance_count: 557 }
2025-03-31T21:49:33.107109Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 1, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 1, walker_advance_count: 1 }
2025-03-31T21:49:33.107322Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 41, leaf_nodes: 87, hashed_cursor_seek_count: 124, hashed_cursor_advance_count: 87, walker_advance_count: 124 }
2025-03-31T21:49:33.107452Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 1, leaf_nodes: 40, hashed_cursor_seek_count: 4, hashed_cursor_advance_count: 40, walker_advance_count: 4 }
2025-03-31T21:49:33.107916Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 9, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 9, walker_advance_count: 1 }
2025-03-31T21:49:33.109485Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 515, leaf_nodes: 33, hashed_cursor_seek_count: 565, hashed_cursor_advance_count: 33, walker_advance_count: 565 }
2025-03-31T21:49:33.109832Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 3, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 3, walker_advance_count: 1 }
2025-03-31T21:49:33.110345Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 322, leaf_nodes: 7, hashed_cursor_seek_count: 333, hashed_cursor_advance_count: 7, walker_advance_count: 333 }
2025-03-31T21:49:33.113141Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 322, leaf_nodes: 10, hashed_cursor_seek_count: 336, hashed_cursor_advance_count: 10, walker_advance_count: 336 }
2025-03-31T21:49:33.113219Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 14, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 14, walker_advance_count: 1 }
2025-03-31T21:49:33.113753Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 287, leaf_nodes: 7, hashed_cursor_seek_count: 297, hashed_cursor_advance_count: 7, walker_advance_count: 297 }
2025-03-31T21:49:33.114247Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 299, leaf_nodes: 6, hashed_cursor_seek_count: 303, hashed_cursor_advance_count: 6, walker_advance_count: 303 }
2025-03-31T21:49:33.115002Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 2, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 2, walker_advance_count: 1 }
